Date,Nodes,Channel,SNR,RSSI,Type,Hops,Data
"3/11, 11:12 AM","MP","0","","","TELEMETRY_APP","",""
"3/11, 11:12 AM","0xFC","0","6.25","-36","NODEINFO_APP","0 / 7","Meshtastic 0xFC"
"3/11, 11:13 AM","0xFC","0","6","-35","TELEMETRY_APP","0 / 7","4.1V 95%"
"3/11, 11:13 AM","!fa6ba8dc","107","","","encrypted","6 / 7",""
"3/11, 11:14 AM","MT","0","","","TELEMETRY_APP","3 / 7","4.2V 101%"
"3/11, 11:14 AM","MFMG","0","","","NODEINFO_APP","5 / 5","Murphys GPS Tracker"
"3/11, 11:14 AM","MP to MFMG","","","","TRACEROUTE","",""
"3/11, 11:15 AM","8998","0","","","POSITION_APP","7 / 7","(37.254, -121.888) 55m asl"
"3/11, 11:15 AM","MFMQ","0","","","POSITION_APP","4 / 4","(38.142, -120.403) 1038m asl"
"3/11, 11:15 AM","MP to 8998","","","","TRACEROUTE","",""
"3/11, 11:15 AM","MP to MFMQ","","","","TRACEROUTE","",""
"3/11, 11:15 AM","RIPR to !9eeca83c","0","","","NODEINFO_APP","2 / 3","Ripon_Router"
"3/11, 11:18 AM","MFMQ to MP","0","","","TRACEROUTE_APP","4 / 4","MP -> GG01 -> enfm -> MFMQ"
"3/11, 11:20 AM","!9cdcebd0","0","","","TELEMETRY_APP","2 / 7",""
"3/11, 11:21 AM","RIPR to !9cdcebd0","0","","","NODEINFO_APP","2 / 3","Ripon_Router"
"3/11, 11:21 AM","22b8","0","MQTT","","POSITION_APP","5 / 7","(38.293, -120.275) 1435m asl"
"3/11, 11:21 AM","MP to 22b8","","","","TRACEROUTE","",""
"3/11, 11:22 AM","9c2d","0","","","POSITION_APP","7 / 7","(37.775, -122.447) 157m asl"
"3/11, 11:22 AM","MP to 9c2d","","","","TRACEROUTE","",""
"3/11, 11:23 AM","GG01","0","-15.25","-120","POSITION_APP","0 / 5","(37.985, -120.403) 629m asl"
"3/11, 11:25 AM","MYR1 to !f0edc02d","0","-8","-114","NODEINFO_APP","","Enorym_346c"
"3/11, 11:26 AM","0xFC","0","6.25","-33","TEXT_MESSAGE_APP","0 / 7",""
"3/11, 11:27 AM","MP","0","","","TELEMETRY_APP","",""
"3/11, 11:28 AM","St35","0","","","POSITION_APP","7 / 7","(37.251, -121.818) 66m asl"
"3/11, 11:28 AM","MP to St35","","","","TRACEROUTE","",""
"3/11, 11:29 AM","!fa6ba8dc","107","","","encrypted","7 / 7",""
"3/11, 11:29 AM","Mfeb","0","","","TELEMETRY_APP","3 / 3",""
"3/11, 11:30 AM","MP to Mfeb","","","","TRACEROUTE","",""
"3/11, 11:30 AM","P1NE","0","","","TELEMETRY_APP","3 / 5","4.0V 88%"
"3/11, 11:30 AM","MP to P1NE","","","","TRACEROUTE","",""
"3/11, 11:30 AM","8998","0","","","POSITION_APP","7 / 7","(37.254, -121.888) 55m asl"
"3/11, 11:31 AM","MP to 8998","","","","TRACEROUTE","",""
"3/11, 11:31 AM","A23G","0","MQTT","","NODEINFO_APP","5 / 5","Alabama 23 Gateway"
"3/11, 11:31 AM","MP to A23G","","","","TRACEROUTE","",""
"3/11, 11:31 AM","A23G","0","MQTT","","TELEMETRY_APP","4 / 5","4.2V 98%"
"3/11, 11:32 AM","AB01","0","","","TELEMETRY_APP","7 / 7","4.3V 100%"
"3/11, 11:32 AM","!da65b280","0","","","POSITION_APP","3 / 7","(37.932, -121.189) 14m asl"
"3/11, 11:33 AM","Mfeb","0","","","NODEINFO_APP","3 / 3","Meshtastic mfebase"
"3/11, 11:33 AM","!a2e96750","82","","","encrypted","3 / 3",""
"3/11, 11:34 AM","D","0","","","POSITION_APP","7 / 7","(37.356, -121.976) 14m asl"
"3/11, 11:34 AM","MP to D","","","","TRACEROUTE","",""
"3/11, 11:35 AM","RIPR to 8c32","0","","","NODEINFO_APP","3 / 3","Ripon_Router"
"3/11, 11:35 AM","!43572230","95","","","encrypted","5 / 5",""
"3/11, 11:35 AM","MFMS","0","","","NODEINFO_APP","3 / 7","MFM Solar"
"3/11, 11:36 AM","!fa6ba8dc","107","","","encrypted","7 / 7",""
"3/11, 11:38 AM","BIC","0","","","POSITION_APP","3 / 3","(38.037, -121.661) -23m asl"
"3/11, 11:38 AM","MP to BIC","","","","TRACEROUTE","",""
"3/11, 11:38 AM","SLD1 to !4ed1e10c","0","","","NODEINFO_APP","4 / 7","SierraLD1"
"3/11, 11:41 AM","St35","0","","","POSITION_APP","5 / 7","(37.251, -121.818) 66m asl"
"3/11, 11:41 AM","!fc5336de","0","","","POSITION_APP","6 / 7","(38.457, -121.346) 25m asl"
"3/11, 11:41 AM","MYR1 to !fc5336de","0","-11.25","-114","NODEINFO_APP","","Enorym_346c"
"3/11, 11:42 AM","MP","0","","","TELEMETRY_APP","",""
"3/11, 11:42 AM","TM1","0","","","POSITION_APP","3 / 3","(37.513, -120.875) 40m asl"
"3/11, 11:42 AM","MP to TM1","","","","TRACEROUTE","",""
"3/11, 11:44 AM","A23G","0","MQTT","","POSITION_APP","5 / 5","(37.754, -122.413) 30m asl"
"3/11, 11:45 AM","!21e4323","0","","","POSITION_APP","5 / 6","(37.827, -122.290) 23m asl"
"3/11, 11:47 AM","!6979270b","127","","","encrypted","5 / 5",""
"3/11, 11:47 AM","GG01","0","","","POSITION_APP","3 / 5","(37.985, -120.403) 629m asl"
"3/11, 11:47 AM","MP to GG01","","","","TRACEROUTE","",""
"3/11, 11:48 AM","!fa6ba8dc","107","","","encrypted","7 / 7",""
"3/11, 11:49 AM","0xFC","0","7","-35","TELEMETRY_APP","0 / 7","4.1V 96%"
"3/11, 11:49 AM","RIPR to !43b63f44","0","","","NODEINFO_APP","2 / 3","Ripon_Router"
"3/11, 11:50 AM","U951","0","MQTT","","POSITION_APP","4 / 7","(37.754, -122.410) 20m asl"
"3/11, 11:50 AM","MP to U951","","","","TRACEROUTE","",""
"3/11, 11:50 AM","!9cdcebd0","0","","","TELEMETRY_APP","2 / 7",""
"3/11, 11:51 AM","P2NE","0","MQTT","","POSITION_APP","4 / 5","(38.235, -120.339) 1187m asl"
"3/11, 11:51 AM","MP to P2NE","","","","TRACEROUTE","",""
"3/11, 11:52 AM","!43b63f44","0","","","TELEMETRY_APP","5 / 5","4.2V 100%"
"3/11, 11:53 AM","WRWY","0","","","STORE_FORWARD_APP","7 / 7",""
"3/11, 11:54 AM","3856","0","5.75","-75","POSITION_APP","0 / 5","(37.985, -120.350) 654m asl"
"3/11, 11:54 AM","!6985c3c0","0","","","TELEMETRY_APP","5 / 6","4.3V 101%"
"3/11, 11:55 AM","!4373ad5","0","","","POSITION_APP","3 / 3","(37.631, -120.757) 29m asl"
"3/11, 11:56 AM","3856","0","","","POSITION_APP","1 / 5","(37.985, -120.350) 661m asl"
"3/11, 11:56 AM","MP to 3856","","","","TRACEROUTE","",""
"3/11, 11:56 AM","TM1","0","","","TELEMETRY_APP","2 / 3","0.0V 101%"
"3/11, 11:56 AM","RIPR to !b2a79868","0","","","NODEINFO_APP","3 / 3","Ripon_Router"
"3/11, 11:57 AM","TM1","0","","","POSITION_APP","2 / 3","(37.513, -120.875) 40m asl"
"3/11, 11:57 AM","MP","0","","","TELEMETRY_APP","",""
"3/11, 11:57 AM","MP to tblu","","","","TRACEROUTE","",""
"3/11, 11:58 AM","YX6E","0","","","POSITION_APP","7 / 7","(37.703, -122.441) 212m asl"
"3/11, 11:58 AM","MP to YX6E","","","","TRACEROUTE","",""
"3/11, 11:59 AM","!7db5d518","0","","","POSITION_APP","5 / 5","(37.329, -122.069) 101m asl"
"3/11, 12:01 PM","22b8","0","MQTT","","TELEMETRY_APP","5 / 7","4.2V 100%"
"3/11, 12:01 PM","MP to 22b8","","","","TRACEROUTE","",""
"3/11, 12:01 PM","enfm","0","","","TELEMETRY_APP","1 / 7","4.1V 96%"
"3/11, 12:02 PM","!a2e9fa4c","0","","","POSITION_APP","4 / 4","(37.775, -122.395) 101m asl"
"3/11, 12:03 PM","RIPR to !e9cf5c95","0","","","NODEINFO_APP","3 / 3","Ripon_Router"
"3/11, 12:03 PM","C138","0","","","NODEINFO_APP","3 / 7","Meatpuppet Mobile"
"3/11, 12:03 PM","MP to C138","","","","TRACEROUTE","",""
"3/11, 12:05 PM","tree","0","4.75","-92","NODEINFO_APP","0 / 3","treemesh dc8c"
"3/11, 12:07 PM","MT","0","","","NODEINFO_APP","4 / 7","MeshTerminal (ke6uop)"
"3/11, 12:08 PM","a17c","0","","","POSITION_APP","5 / 7","(37.303, -122.028) 89m asl"
"3/11, 12:08 PM","MP to a17c","","","","TRACEROUTE","",""
"3/11, 12:10 PM","AB01","0","","","TELEMETRY_APP","6 / 7","4.3V 100%"
"3/11, 12:11 PM","DBW","0","","","POSITION_APP","5 / 7","(37.356, -121.976) 23m asl"
"3/11, 12:12 PM","MP","0","","","TELEMETRY_APP","",""
"3/11, 12:12 PM","9c2d","0","","","TELEMETRY_APP","5 / 7","3.8V 51%"
"3/11, 12:12 PM","MP to 9c2d","","","","TRACEROUTE","",""
"3/11, 12:12 PM","3856","0","","","POSITION_APP","1 / 5","(37.985, -120.403) 592m asl"
"3/11, 12:12 PM","MP to 3856","","","","TRACEROUTE","",""
"3/11, 12:13 PM","RIPR","0","","","TELEMETRY_APP","3 / 3","4.1V 93%"
"3/11, 12:14 PM","🔹","0","","","NODEINFO_APP","5 / 7","Blue"
"3/11, 12:15 PM","P2NE","0","MQTT","","POSITION_APP","5 / 5","(38.235, -120.339) 1187m asl"
"3/11, 12:15 PM","MP to P2NE","","","","TRACEROUTE","",""
"3/11, 12:19 PM","U951","0","MQTT","","POSITION_APP","5 / 7","(37.754, -122.410) 20m asl"
"3/11, 12:19 PM","MP to U951","","","","TRACEROUTE","",""
"3/11, 12:20 PM","!9cdcebd0","0","","","TELEMETRY_APP","1 / 7","4.1V 96%"
"3/11, 12:21 PM","!9cdcebd0","0","","","TELEMETRY_APP","1 / 7",""
"3/11, 12:21 PM","RIPR to !9cdcebd0","0","","","NODEINFO_APP","3 / 3","Ripon_Router"
"3/11, 12:21 PM","8998","0","","","POSITION_APP","5 / 7","(37.254, -121.888) 55m asl"
"3/11, 12:21 PM","MP to 8998","","","","TRACEROUTE","",""
"3/11, 12:24 PM","🦝","0","","","TELEMETRY_APP","5 / 5",""
"3/11, 12:24 PM","MP to 🦝","","","","TRACEROUTE","",""
"3/11, 12:25 PM","a8fc","19","-8","-112","encrypted","0 / 7",""
"3/11, 12:26 PM","TM1","0","","","POSITION_APP","2 / 3","(37.513, -120.875) 40m asl"
"3/11, 12:25 PM","MP to TM1","","","","TRACEROUTE","",""
"3/11, 12:26 PM","a8fc","0","-8.25","-112","TEXT_MESSAGE_APP","0 / 7",""
"3/11, 12:27 PM","MP","0","","","TELEMETRY_APP","",""
"3/11, 12:29 PM","DBW to !a2eb4184","0","","","NODEINFO_APP","6 / 7","Davetastic Base West"
"3/11, 12:29 PM","MP to DBW","","","","TRACEROUTE","",""
"3/11, 12:30 PM","!fa6ba8dc","107","","","encrypted","7 / 7",""
"3/11, 12:31 PM","0xFC","0","6.25","-37","TELEMETRY_APP","0 / 7","4.1V 95%"
"3/11, 12:33 PM","RIPR to !da65b280","0","","","NODEINFO_APP","3 / 3","Ripon_Router"
"3/11, 12:34 PM","1e48 to !e0f79ab8","0","","","NODEINFO_APP","3 / 3","Meshtastic 1e48"
"3/11, 12:34 PM","MFMG","0","","","POSITION_APP","2 / 5","(38.142, -120.403) ?m asl"
"3/11, 12:34 PM","MP to MFMG","","","","TRACEROUTE","",""
"3/11, 12:36 PM","LORD","0","","","TEXT_MESSAGE_APP","4 / 7",""
"3/11, 12:37 PM","MFMS","0","","","NODEINFO_APP","4 / 7","MFM Solar"
"3/11, 12:37 PM","!19ece8c8","0","","","POSITION_APP","6 / 7","(36.307, -119.302) 90m asl"
"3/11, 12:38 PM","a276 to 8998","0","","","NODEINFO_APP","7 / 7","Meshtastic a276"
"3/11, 12:42 PM","MP","0","","","TELEMETRY_APP","",""
"3/11, 12:42 PM","!492cf19e","0","","","TELEMETRY_APP","4 / 7",""
"3/11, 12:46 PM","9c2d","0","","","POSITION_APP","7 / 7","(37.775, -122.447) 157m asl"
"3/11, 12:46 PM","MP to 9c2d","","","","TRACEROUTE","",""
"3/11, 12:49 PM","LORD to 9c2d","0","","","NODEINFO_APP","6 / 7","M'LORD"
"3/11, 12:50 PM","GG01","0","","","POSITION_APP","3 / 5","(37.985, -120.403) 629m asl"
"3/11, 12:50 PM","MP to GG01","","","","TRACEROUTE","",""
"3/11, 12:50 PM","GG01 to MP","0","-15.5","-119","TRACEROUTE_APP","0 / 2","MP -> GG01"
"3/11, 12:53 PM","BIC","0","","","POSITION_APP","3 / 3","(38.037, -121.661) -23m asl"
"3/11, 12:53 PM","MP to BIC","","","","TRACEROUTE","",""
"3/11, 12:54 PM","S100","0","","","POSITION_APP","7 / 7","(37.461, -122.154) 21m asl"
"3/11, 12:54 PM","MP to S100","","","","TRACEROUTE","",""
"3/11, 12:57 PM","MP","0","","","TELEMETRY_APP","",""
"3/11, 12:57 PM","!e33132c0","144","","","encrypted","4 / 4",""
"3/11, 12:58 PM","ffa8","0","MQTT","","POSITION_APP","6 / 7","(38.286, -120.285) 1417m asl"
"3/11, 12:58 PM","MP to ffa8","","","","TRACEROUTE","",""
"3/11, 12:58 PM","ffa8","0","MQTT","","TELEMETRY_APP","7 / 7","4.3V 101%"
"3/11, 1:01 PM","Mfeb","0","","","TELEMETRY_APP","3 / 3","4.2V 100%"
"3/11, 1:01 PM","MP to Mfeb","","","","TRACEROUTE","",""
"3/11, 1:02 PM","!fa6ba8dc","107","","","encrypted","7 / 7",""
"3/11, 1:05 PM","!9cdcebd0","0","","","TELEMETRY_APP","1 / 7","4.1V 96%"
"3/11, 1:07 PM","U951","0","MQTT","","POSITION_APP","5 / 7","(37.754, -122.410) 20m asl"
"3/11, 1:07 PM","MP to U951","","","","TRACEROUTE","",""
"3/11, 1:09 PM","d7af","0","","","TELEMETRY_APP","3 / 3","0.0V 101%"
"3/11, 1:09 PM","MP to d7af","","","","TRACEROUTE","",""
"3/11, 1:11 PM","RIPR","0","","","TELEMETRY_APP","1 / 3","4.1V 93%"
"3/11, 1:12 PM","MFMG","0","MQTT","","TELEMETRY_APP","5 / 5","4.3V 101%"
"3/11, 1:11 PM","MP to MFMG","","","","TRACEROUTE","",""
"3/11, 1:12 PM","MP","0","","","TELEMETRY_APP","",""
"3/11, 1:15 PM","🦝","0","","","TELEMETRY_APP","3 / 5","0.0V 101%"
"3/11, 1:15 PM","MP to 🦝","","","","TRACEROUTE","",""
"3/11, 1:18 PM","!a2e9fa4c","0","-13.75","-115","POSITION_APP","","(37.775, -122.395) 105m asl"
"3/11, 1:19 PM","0xFC","0","6","-39","TELEMETRY_APP","0 / 7","4.1V 95%"
"3/11, 1:20 PM","!9cdcebd0","0","","","TELEMETRY_APP","2 / 7",""
"3/11, 1:24 PM","!7883f042","126","","","encrypted","7 / 7",""
"3/11, 1:26 PM","GG01","0","","","POSITION_APP","1 / 5","(37.985, -120.403) 629m asl"
"3/11, 1:27 PM","MP","0","","","TELEMETRY_APP","",""
"3/11, 1:30 PM","TM1","0","","","POSITION_APP","3 / 3","(37.513, -120.875) 40m asl"
"3/11, 1:30 PM","MP to TM1","","","","TRACEROUTE","",""
