Date,Nodes,Channel,SNR,RSSI,Type,Hops,Data
"","RIPR to BOOM","0","","","NODEINFO_APP","2 / 3","Ripon_Router"
"","!69844b1c","0","","","STORE_FORWARD_APP","4 / 7",""
"","SLD1","0","","","TELEMETRY_APP","2 / 7","4.2V 101%"
"","MFMS","0","","","NODEINFO_APP","2 / 7","MFM Solar"
"","0xFA to MYR1","0","5.75","-46","NODEINFO_APP","0 / 7","0xFA Shrike"
"","enas","0","","","POSITION_APP","5 / 7","(38.302, -120.319) 1590m asl"
"","0xFC","0","","","TELEMETRY_APP","",""
"","STN1","0","","","TELEMETRY_APP","3 / 7","4.1V 93%"
"","enas","0","","","TELEMETRY_APP","5 / 7","4.2V 99%"
"3/15, 3:42 PM","0xFC to enas","","","","TRACEROUTE","",""
"","enas to 0xFC","0","","","TRACEROUTE_APP","1 / 4","0xFC -> MT -> enrr -> enas"
"","37cf","0","5.5","-47","TELEMETRY_APP","","4.1V 101%"
"","🦝","0","","","TELEMETRY_APP","4 / 5","0.0V 101%"
"3/15, 3:43 PM","0xFC to 🦝","","","","TRACEROUTE","",""
"","2569","95","","","encrypted","5 / 5",""
"","hypn","0","","","POSITION_APP","6 / 7","(36.756, -119.810) 79m asl"
"3/15, 3:42 PM","WB6T to hypn","0","","","NODEINFO_APP","1 / 3","WB6TOU"
"3/15, 3:43 PM","MYR1 to !8ad2d4c","0","","","NODEINFO_APP","","Enorym_346c"
"3/15, 3:43 PM","MT","0","6.75","-42","NODEINFO_APP","0 / 7","MeshTerminal (ke6uop)"
"3/15, 3:44 PM","TM1","0","","","POSITION_APP","2 / 3","(37.513, -120.875) 40m asl"
"3/15, 3:45 PM","0xFC to TM1","","","","TRACEROUTE","",""
"3/15, 3:44 PM","GG01","0","","","POSITION_APP","3 / 5","(37.985, -120.403) 629m asl"
"3/15, 3:44 PM","🦝","0","","","TELEMETRY_APP","5 / 5",""
"3/15, 3:44 PM","RIPR","0","","","TELEMETRY_APP","2 / 3","4.2V 98%"
"3/15, 3:45 PM","0xFC to GG01","","","","TRACEROUTE","",""
"3/15, 3:45 PM","2230","95","","","encrypted","5 / 5",""
"3/15, 3:45 PM","MP","0","","","TELEMETRY_APP","3 / 7","3.9V 70%"
"3/15, 3:45 PM","8998","0","","","POSITION_APP","6 / 7","(37.254, -121.888) 55m asl"
"3/15, 3:46 PM","0xFC to 8998","","","","TRACEROUTE","",""
"3/15, 3:45 PM","!eb76ac6d","0","","","POSITION_APP","5 / 5","(36.329, -119.315) 330m asl"
"3/15, 3:45 PM","0xFA to !69844b1c","0","7.25","-54","NODEINFO_APP","0 / 7","0xFA Shrike"
"3/15, 3:46 PM","A23G","0","MQTT","","POSITION_APP","3 / 5","(37.754, -122.413) 30m asl"
"3/15, 3:47 PM","0xFC to A23G","","","","TRACEROUTE","",""
"3/15, 3:46 PM","RIPR to !d059402d","0","","","NODEINFO_APP","2 / 3","Ripon_Router"
"3/15, 3:46 PM","Mfeb","0","","","POSITION_APP","3 / 3","(37.722, -121.132) 0m asl"
"3/15, 3:47 PM","0xFC to Mfeb","","","","TRACEROUTE","",""
"3/15, 3:48 PM","MFMY to !eb76ac6d","0","","","NODEINFO_APP","3 / 6","MFM Mini Yellow"
"3/15, 3:48 PM","MYR1","0","","","TELEMETRY_APP","","4.1V 86%"
"3/15, 3:49 PM","!f3787512","0","","","TELEMETRY_APP","5 / 5",""
"3/15, 3:49 PM","MFMY","0","","","TELEMETRY_APP","4 / 6","3.9V 74%"
"3/15, 3:50 PM","LBTU","0","","","TELEMETRY_APP","5 / 5","4.1V 94%"
"3/15, 3:50 PM","WB6T to LBTU","0","","","NODEINFO_APP","2 / 3","WB6TOU"
"3/15, 3:50 PM","STN1","0","","","TELEMETRY_APP","3 / 7","4.1V 93%"
"3/15, 3:50 PM","0xFA to STN1","0","6.5","-64","NODEINFO_APP","0 / 7","0xFA Shrike"
"3/15, 3:50 PM","!a2eb4184","0","","","POSITION_APP","4 / 4","(37.311, -121.951) 25m asl"
"3/15, 3:50 PM","DBLF","0","","","TELEMETRY_APP","3 / 3",""
"3/15, 3:51 PM","0xFC to DBLF","","","","TRACEROUTE","",""
"3/15, 3:51 PM","ffa8","0","MQTT","","TELEMETRY_APP","3 / 7","4.3V 101%"
"3/15, 3:51 PM","!502ea456","240","","","encrypted","2 / 3",""
"3/15, 3:51 PM","ffa8","0","MQTT","","POSITION_APP","3 / 7","(38.286, -120.285) 25m asl"
"3/15, 3:52 PM","0xFC to ffa8","","","","TRACEROUTE","",""
"3/15, 3:52 PM","RIPR to !6f9c28fc","0","","","NODEINFO_APP","1 / 3","Ripon_Router"
"3/15, 3:52 PM","!b33da93d","175","","","encrypted","6 / 6",""
"3/15, 3:52 PM","STN1","0","","","NODEINFO_APP","3 / 7","Stockton Masonic Lodge K6ODS"
"3/15, 3:52 PM","U951","0","MQTT","","POSITION_APP","3 / 7","(37.754, -122.413) 16m asl"
"3/15, 3:53 PM","0xFC to U951","","","","TRACEROUTE","",""
"3/15, 3:53 PM","!7a423d5e","0","","","POSITION_APP","3 / 3","(38.194, -122.133) 6m asl"
"3/15, 3:53 PM","MT","0","6.5","-42","NODEINFO_APP","0 / 7","MeshTerminal (ke6uop)"
"3/15, 3:53 PM","Mfeb","0","","","TELEMETRY_APP","3 / 3",""
"3/15, 3:54 PM","a17c","0","","","TELEMETRY_APP","4 / 7","4.0V 86%"
"3/15, 3:55 PM","0xFC to a17c","","","","TRACEROUTE","",""
"3/15, 3:54 PM","SLD1 to a17c","0","","","NODEINFO_APP","3 / 7","SierraLD1"
"3/15, 3:55 PM","!4373ad5","0","","","POSITION_APP","3 / 3","(37.631, -120.757) -226m asl"
"3/15, 3:55 PM","SLD1","0","","","TELEMETRY_APP","2 / 7","4.3V 101%"
"3/15, 3:55 PM","0xFC","0","","","TELEMETRY_APP","",""
"3/15, 3:56 PM","!e33132c0","144","","","encrypted","1 / 4",""
"3/15, 3:56 PM","MFMP","0","","","POSITION_APP","4 / 5","(38.142, -120.403) 1029m asl"
"3/15, 3:57 PM","0xFC to MFMP","","","","TRACEROUTE","",""
"3/15, 3:57 PM","RIPR to !2286a762","0","","","NODEINFO_APP","3 / 3","Ripon_Router"
"3/15, 3:57 PM","P2NE","0","","","POSITION_APP","2 / 5","(38.235, -120.339) 1187m asl"
"3/15, 3:58 PM","0xFC to P2NE","","","","TRACEROUTE","",""
"3/15, 3:57 PM","TWKE","0","","","TELEMETRY_APP","3 / 5",""
"3/15, 3:57 PM","!1d4842b6","0","","","POSITION_APP","7 / 7","(36.779, -119.774) 94m asl"
"3/15, 3:58 PM","0xFC to TWKE","","","","TRACEROUTE","",""
"3/15, 3:58 PM","8998","0","","","POSITION_APP","5 / 7","(37.254, -121.888) 55m asl"
"3/15, 3:58 PM","TM1","0","","","TELEMETRY_APP","1 / 3","0.0V 101%"
"3/15, 3:59 PM","MFMQ","0","","","POSITION_APP","3 / 4","(38.142, -120.403) 1038m asl"
"3/15, 4:00 PM","0xFC to MFMQ","","","","TRACEROUTE","",""
"3/15, 3:59 PM","RIPR","0","","","TELEMETRY_APP","3 / 3","4.2V 98%"
"3/15, 3:59 PM","22b8","0","","","TELEMETRY_APP","3 / 7","4.2V 100%"
"3/15, 4:00 PM","22b8","0","","","POSITION_APP","3 / 7","(38.293, -120.275) 1435m asl"
"3/15, 4:00 PM","DBW","0","","","POSITION_APP","6 / 7","(37.356, -121.976) 23m asl"
"3/15, 4:01 PM","0xFC to DBW","","","","TRACEROUTE","",""
"3/15, 4:00 PM","!e10d5fbe","0","","","POSITION_APP","5 / 5","(38.280, -122.035) 34m asl"
"3/15, 4:00 PM","MFMP","0","","","NODEINFO_APP","3 / 5","MFM Portable"
"3/15, 4:02 PM","MYR1 to MFMP","0","6.25","-43","NODEINFO_APP","","Enorym_346c"
"3/15, 4:02 PM","DOME","0","","","POSITION_APP","7 / 7","(38.286, -120.285) 1453m asl"
"3/15, 4:03 PM","0xFC to DOME","","","","TRACEROUTE","",""
"3/15, 4:03 PM","U951","0","MQTT","","POSITION_APP","3 / 7","(37.754, -122.413) 16m asl"
"3/15, 4:03 PM","MT","0","6","-42","NODEINFO_APP","0 / 7","MeshTerminal (ke6uop)"
"3/15, 4:03 PM","!4373ad5","0","","","POSITION_APP","3 / 3","(37.631, -120.757) 22m asl"
"3/15, 4:04 PM","0xFC to !4373ad5","","","","TRACEROUTE","",""
"3/15, 4:03 PM","!e10d5fbe","0","","","POSITION_APP","4 / 5","(38.280, -122.035) 31m asl"
"3/15, 4:03 PM","WB6T to !e10d5fbe","0","","","NODEINFO_APP","2 / 3","WB6TOU"
"3/15, 4:05 PM","0xFC to !e10d5fbe","","","","TRACEROUTE","",""
"3/15, 4:05 PM","!5f2e1a7b","0","","","TELEMETRY_APP","7 / 7","3.8V 63%"
"3/15, 4:05 PM","STN1","0","","","TELEMETRY_APP","2 / 7","4.1V 93%"
