Date,Nodes,Channel,SNR,RSSI,Type,Hops,Data
"3/9, 10:20 PM","!9cdcebd0","0","","","TELEMETRY_APP","2 / 7","4.0V 85%"
"3/9, 10:20 PM","MFMG","0","MQTT","","NODEINFO_APP","3 / 5","Murphys GPS Tracker"
"3/9, 10:20 PM","WRWY","0","","","STORE_FORWARD_APP","5 / 7",""
"3/9, 10:21 PM","0xFC","0","","","TELEMETRY_APP","",""
"3/9, 10:21 PM","LBLB","0","","","TELEMETRY_APP","4 / 5",""
"3/9, 10:22 PM","bbb8 to !1d4842b6","0","","","NODEINFO_APP","5 / 5","Meshtastic bbb8"
"3/9, 10:22 PM","!4ed1e10c","0","","","POSITION_APP","6 / 7","(36.884, -119.774) 123m asl"
"3/9, 10:23 PM","!2f669ef4","0","","","POSITION_APP","3 / 3","(37.542, -120.065) 1290m asl"
"3/9, 10:23 PM","!180ce245","0","","","POSITION_APP","6 / 7","(36.756, -119.810) 90m asl"
"3/9, 10:23 PM","MT","0","6.25","-56","TEXT_MESSAGE_APP","0 / 7",""
"3/9, 10:24 PM","SLD1 to !180ce245","0","","","NODEINFO_APP","4 / 7","SierraLD1"
"3/9, 10:24 PM","RIPR to !12f5a45","0","","","NODEINFO_APP","3 / 3","Ripon_Router"
"3/9, 10:25 PM","RM","0","","","POSITION_APP","4 / 6","(36.831, -119.826) 37m asl"
"3/9, 10:25 PM","WB6T to RM","0","","","NODEINFO_APP","2 / 3","WB6TOU"
"3/9, 10:25 PM","RIPR","0","","","TELEMETRY_APP","1 / 3","4.1V 97%"
"3/9, 10:25 PM","ffa8","0","MQTT","","TELEMETRY_APP","3 / 7","4.3V 101%"
"3/9, 10:26 PM","!6983f450","0","","","POSITION_APP","6 / 6","(38.647, -121.222) 82m asl"
"3/9, 10:26 PM","MT","0","6.5","-59","NODEINFO_APP","0 / 7","MeshTerminal (ke6uop)"
"3/9, 10:26 PM","8998","0","","","POSITION_APP","7 / 7","(37.254, -121.888) 55m asl"
"3/9, 10:26 PM","!34a5bb81","0","","","POSITION_APP","7 / 7","(37.461, -122.154) 49m asl"
"3/9, 10:27 PM","!ddb55258","0","","","TELEMETRY_APP","6 / 7","4.3V 101%"
"3/9, 10:27 PM","BCN1","0","MQTT","","POSITION_APP","7 / 7","(37.408, -121.871) 40m asl"
"3/9, 10:27 PM","!c7181daf","0","","","POSITION_APP","3 / 7","(37.942, -120.610) 189m asl"
"3/9, 10:28 PM","MYR1 to !a1b22df1","0","6.25","-58","NODEINFO_APP","","Enorym_346c"
"3/9, 10:29 PM","GG01","0","","","NODEINFO_APP","1 / 5","GG_Repeater_01"
"3/9, 10:29 PM","Blbo","0","","","POSITION_APP","4 / 4","(36.861, -119.740) 110m asl"
"3/9, 10:29 PM","!e618d2df","0","","","POSITION_APP","3 / 3","(37.722, -121.132) 0m asl"
"3/9, 10:30 PM","Mshy to !1ebc35b9","0","-20.5","-128","NODEINFO_APP","","Meshy_big"
"3/9, 10:31 PM","St35","0","","","NODEINFO_APP","6 / 7","Meshtastic 722c"
"3/9, 10:32 PM","!336780b0","0","","","POSITION_APP","7 / 7","(37.703, -122.441) 110m asl"
"3/9, 10:32 PM","22b8","0","MQTT","","NODEINFO_APP","3 / 7","🦢 Snowshoe Lake 🏞️"
"3/9, 10:34 PM","elxx","0","","","POSITION_APP","2 / 7","(37.985, -120.298) 691m asl"
"3/9, 10:35 PM","!9cdcebd0","0","","","TELEMETRY_APP","2 / 7",""
"3/9, 10:35 PM","c3c0","0","","","NODEINFO_APP","6 / 6","Meshtastic c3c0"
"3/9, 10:35 PM","MUHM","0","","","POSITION_APP","4 / 6","(37.985, -122.343) ?m asl"
"3/9, 10:36 PM","MT","0","6.25","-59","NODEINFO_APP","0 / 7","MeshTerminal (ke6uop)"
"3/9, 10:36 PM","0xFC","0","","","TELEMETRY_APP","",""
"3/9, 10:37 PM","!79cfdddc","0","","","POSITION_APP","2 / 3","(37.513, -120.875) 40m asl"
"3/9, 10:37 PM","A23G","0","MQTT","","POSITION_APP","3 / 5","(37.754, -122.413) 30m asl"
"3/9, 10:38 PM","🦝","0","","","TELEMETRY_APP","5 / 5","0.0V 101%"
"3/9, 10:40 PM","!24c4dfdf","0","","","POSITION_APP","6 / 7","(36.307, -119.144) 117m asl"
"3/9, 10:41 PM","d7af","0","","","NODEINFO_APP","3 / 3","Meshtastic d7af"
"3/9, 10:41 PM","!e618d2df","0","","","TELEMETRY_APP","3 / 3","4.1V 96%"
"3/9, 10:41 PM","0xFC to !e618d2df","","","","TRACEROUTE","",""
"3/9, 10:42 PM","🦝 to MYR1","0","","","NODEINFO_APP","5 / 5","Tanuki omni 🦝"
"3/9, 10:43 PM","!3d7851bc","0","","","POSITION_APP","3 / 4","(38.194, -122.133) 10m asl"
"3/9, 10:45 PM","MFMG","0","","","TELEMETRY_APP","2 / 5","3.5V 29%"
"3/9, 10:46 PM","MT","0","6","-57","NODEINFO_APP","0 / 7","MeshTerminal (ke6uop)"
"3/9, 10:46 PM","8998","0","","","POSITION_APP","5 / 7","(37.254, -121.888) 55m asl"
"3/9, 10:46 PM","0xFC to 8998","","","","TRACEROUTE","",""
"3/9, 10:50 PM","37cf to b980","0","-14.5","-125","NODEINFO_APP","","Meshtastic Valentine"
"3/9, 10:50 PM","WRWY","0","","","STORE_FORWARD_APP","5 / 7",""
"3/9, 10:50 PM","!34a5bb81","0","","","POSITION_APP","3 / 7","(37.461, -122.154) 34m asl"
"3/9, 10:50 PM","0xFC to !34a5bb81","","","","TRACEROUTE","",""
"3/9, 10:51 PM","ee2c to !d428362d","0","-14.75","-126","NODEINFO_APP","","Meshtastic ee2c"
"3/9, 10:51 PM","0xFC","0","","","TELEMETRY_APP","",""
"3/9, 10:51 PM","enpl","0","","","POSITION_APP","2 / 7","(38.236, -120.342) 1148m asl"
"3/9, 10:52 PM","D","0","","","TELEMETRY_APP","6 / 7",""
"3/9, 10:52 PM","A23G","0","MQTT","","POSITION_APP","3 / 5","(37.754, -122.413) 30m asl"
